Query_ID,Query,Category,Difficulty,Tool_Accuracy,SQL_Validity,Value_Accuracy,Semantic_Similarity,Overall_Score,Passed,Graph_Generated,Error
1,What was the total revenue in 2024?,structured,easy,1.000,1.000,1.000,0.897,0.969,True,False,
2,What is the net income for 2024?,structured,easy,1.000,1.000,0.000,0.000,0.400,False,False,
3,What was the revenue in Q1 2024?,structured,easy,1.000,1.000,1.000,0.872,0.962,True,False,
4,What was the average stock price in 2024?,structured,easy,1.000,1.000,1.000,0.961,0.988,True,False,
5,What was the gross profit in 2024?,structured,easy,1.000,1.000,0.000,0.000,0.400,False,False,
6,What was the revenue in 2023?,structured,easy,1.000,1.000,1.000,0.933,0.980,True,False,
7,Show me the revenue by quarter for 2024,structured,medium,1.000,1.000,0.500,0.881,0.814,True,False,
8,What was the highest stock price in 2024?,structured,medium,1.000,1.000,1.000,0.932,0.979,True,False,
9,What was the lowest stock price in 2024?,structured,medium,1.000,1.000,0.000,0.000,0.400,False,False,
10,What was the total trading volume in 2024?,structured,medium,1.000,1.000,1.000,0.846,0.954,True,False,
11,Compare revenue between 2023 and 2024,structured,medium,1.000,1.000,0.500,0.866,0.810,True,False,
12,What was the net income in Q2 2024?,structured,medium,1.000,1.000,1.000,0.903,0.971,True,False,
13,What quarter had the highest revenue in 2024?,structured,hard,1.000,1.000,0.500,0.868,0.810,True,False,
14,What quarter had the lowest revenue in 2024?,structured,hard,1.000,1.000,0.500,0.831,0.799,True,False,
15,What was the revenue growth from 2022 to 2023?,structured,hard,1.000,1.000,0.500,0.913,0.824,True,False,
16,What was the average gross margin in 2024?,structured,hard,1.000,1.000,1.000,0.899,0.970,True,False,
17,What was the net income in 2022?,structured,medium,1.000,1.000,1.000,0.917,0.975,True,False,
18,Show me the monthly average stock prices for 2024,structured,hard,1.000,1.000,0.500,0.760,0.778,True,False,
19,"What was the stock price on January 2, 2024?",structured,hard,1.000,1.000,0.000,0.000,0.400,False,False,
20,What was the revenue in 2019?,structured,medium,1.000,1.000,1.000,0.931,0.979,True,False,
21,Show me a chart of revenue by quarter for 2024,graph,easy,1.000,1.000,0.500,0.550,0.715,True,True,
22,Create a line chart of stock prices in 2024,graph,easy,1.000,1.000,1.000,0.326,0.798,True,True,
23,"Show me a bar chart comparing revenue between 2022, 2023, and 2024",graph,medium,1.000,1.000,0.500,0.507,0.702,True,True,
24,Create a chart showing monthly trading volume for 2024,graph,medium,1.000,1.000,1.000,0.593,0.878,True,True,
25,Visualize the net income trend from 2020 to 2024,graph,medium,1.000,1.000,1.000,0.708,0.912,True,True,
26,Show me a pie chart of revenue distribution by quarter in 2024,graph,hard,1.000,1.000,0.500,0.522,0.706,True,True,
27,Create a chart showing stock price high and low by month in 2024,graph,hard,1.000,1.000,1.000,0.323,0.797,True,True,
28,Show me the 5-year revenue trend from 2019 to 2024,graph,hard,1.000,1.000,0.500,0.594,0.728,True,True,
29,Create a dual-axis chart showing revenue and net income for 2024 quarters,graph,hard,1.000,1.000,1.000,0.413,0.824,True,True,
30,Visualize the gross profit margin trend over the last 3 years,graph,hard,1.000,1.000,1.000,0.651,0.895,True,True,
31,What is the financial outlook based on recent performance?,advisory,easy,0.000,1.000,0.500,0.526,0.508,False,False,
32,Should I invest based on the 2024 financial data?,advisory,medium,0.000,1.000,0.500,0.571,0.521,False,False,
33,Analyze the revenue trend and recommend next steps,advisory,medium,1.000,1.000,0.500,0.588,0.726,True,False,
34,What are the key strengths and weaknesses from the 2024 financial data?,advisory,hard,1.000,1.000,0.500,0.485,0.695,True,False,
35,Provide a risk assessment based on stock volatility in 2024,advisory,hard,1.000,0.000,0.500,0.396,0.469,False,False,
36,"Hello, who are you?",conversational,easy,0.000,0.000,0.500,0.631,0.339,False,False,
37,What was the revenue for Apple in 2024?,edge_case,easy,1.000,1.000,0.333,0.341,0.602,True,False,
38,What was the revenue in 1800?,edge_case,medium,1.000,1.000,0.000,0.353,0.506,False,False,
39,What LLM model are you using?,edge_case,easy,0.000,0.000,0.333,0.340,0.202,False,False,
40,Show me the SQL query you used,edge_case,medium,0.000,1.000,0.000,0.139,0.242,False,False,
